gene_id,Rank,Gene
ENSG00000184845,1,DRD1
ENSG00000149295,2,DRD2
ENSG00000101327,3,PDYN
ENSG00000128271,4,ADORA2A
ENSG00000181195,5,PENK
ENSG00000112038,6,OPRM1
ENSG00000268089,7,GABRQ
ENSG00000128573,8,FOXP2
ENSG00000179981,9,TSHZ1
ENSG00000082684,10,SEMA5B
ENSG00000130940,11,CASZ1
ENSG00000196353,12,CPNE4
ENSG00000127152,13,BCL11B
ENSG00000131771,14,PPP1R1B
ENSG00000070748,15,CHAT
ENSG00000241563,16,CORT
ENSG00000122585,17,NPY
ENSG00000166863,18,TAC3
ENSG00000112164,19,GLP1R
ENSG00000168843,20,FSTL5
ENSG00000112541,21,PDE10A
ENSG00000158258,22,CLSTN2
ENSG00000102290,23,PCDH11X
ENSG00000182732,24,RGS6
ENSG00000173482,25,PTPRM
ENSG00000146360,26,GPR6
ENSG00000163873,27,GRIK3
ENSG00000164330,28,EBF1
ENSG00000164270,29,HTR4
ENSG00000104327,30,CALB1
ENSG00000100473,31,COCH
ENSG00000119547,32,ONECUT2
ENSG00000047648,33,ARHGAP6
ENSG00000147256,34,ARHGAP36
ENSG00000177098,35,SCN4B
ENSG00000006016,36,CRLF1
ENSG00000145920,37,CPLX2
ENSG00000186469,38,GNG2
ENSG00000165973,39,NELL1
ENSG00000099715,40,PCDH11Y
ENSG00000177519,41,RPRM
ENSG00000131095,42,GFAP
ENSG00000041982,43,TNC
ENSG00000110436,44,SLC1A2
ENSG00000184113,45,CLDN5
ENSG00000129654,46,FOXJ1
ENSG00000075884,47,ARHGAP15
ENSG00000125730,48,C3
ENSG00000152818,49,UTRN
ENSG00000170381,50,SEMA3E
ENSG00000115252,51,PDE1A
ENSG00000145242,52,EPHA5
ENSG00000133105,53,RXFP2
ENSG00000183662,54,TAFA1
ENSG00000148680,55,HTR7
ENSG00000138083,56,SIX3
ENSG00000147571,57,CRH
ENSG00000162624,58,LHX8
ENSG00000187714,59,SLC18A3
ENSG00000115665,60,SLC5A7
ENSG00000106113,61,CRHR2
ENSG00000089250,62,NOS1
ENSG00000168081,63,PNOC
ENSG00000116329,64,OPRD1
ENSG00000082556,65,OPRK1
ENSG00000125510,66,OPRL1
ENSG00000172137,67,CALB2
ENSG00000160401,68,CFAP157
ENSG00000164326,69,CARTPT
ENSG00000147437,70,GNRH1
ENSG00000168546,71,GFRA2
ENSG00000189108,72,IL1RAPL2
ENSG00000136535,73,TBR1
ENSG00000146242,74,TPBG
ENSG00000167281,75,RBFOX3
ENSG00000132639,76,SNAP25
ENSG00000101438,77,SLC32A1
ENSG00000205358,78,MT1H
ENSG00000100302,79,RASD2
ENSG00000112562,80,SMOC2
ENSG00000162595,81,DIRAS3
ENSG00000169900,82,PYDC1
ENSG00000100095,83,SEZ6L
ENSG00000026508,84,CD44
ENSG00000198400,85,NTRK1
ENSG00000171532,86,NEUROD2
ENSG00000179520,87,SLC17A8
ENSG00000004948,88,CALCR
ENSG00000169676,89,DRD5
ENSG00000180176,90,TH
ENSG00000163421,91,PROK2
ENSG00000133107,92,TRPC4
ENSG00000064300,93,NGFR
ENSG00000140564,94,FURIN
ENSG00000136928,95,GABBR2
ENSG00000183454,96,GRIN2A
ENSG00000183715,97,OPCML
ENSG00000183166,98,CALN1
ENSG00000187323,99,DCC
ENSG00000163673,100,DCLK3
