sample_id,in_house_id,brain_id,depth,spaceranger_dir,raw_image_path,cyt_image_path
H1-XKYDCP3_A1,01_VHD_S1_3540um_SVB,Br6660,3540,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-XKYDCP3_A1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/Br6660_NAc_3540_ventral_medial_islands_crop_40x_scan3_good.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/CAVG10676_2025-10-24_13-51-26_2025-10-24_13-12-56_H1-XKYDCP3_A1_sample-3540um.tif
H1-XKYDCP3_D1,02_VHD_S1_4120um_SVB,Br6660,4120,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-XKYDCP3_D1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/Br6600_NAc_4120_drosal_medial_islands_full_40X.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/CAVG10676_2025-10-24_13-51-26_2025-10-24_13-12-56_H1-XKYDCP3_D1_sample-4120um.tif
H1-M3TCP9V_A1,03_VHD_S2_3040um_SVB,Br6660,3040,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-M3TCP9V_A1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/Br6660_59_40x_cropped.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/CAVG10676_2025-11-05_13-37-56_2025-11-05_13-07-01_H1-M3TCP9V_A1_sample-59.tif
H1-M3TCP9V_D1,04_VHD_S2_4550um_SVB,Br6660,4550,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-M3TCP9V_D1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/Br6660_84_40X_crop_2.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/images/visiumHD/CAVG10676_2025-11-05_13-37-56_2025-11-05_13-07-01_H1-M3TCP9V_D1_sample-84.tif
H1-8MTH2TQ_A1,07_VHD_S4_2040um_SVB,Br6660,2040,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-8MTH2TQ_A1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/Br6660_40x_2040um_third_scan.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/CAVG10676_2025-11-19_14-41-35_2025-11-19_14-04-56_H1-8MTH2TQ_A1_sample-2040.tif
H1-8MTH2TQ_D1,08_VHD_S4_3630um_SVB,Br6660,3630,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-8MTH2TQ_D1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/Br6660_40x_3630um.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/CAVG10676_2025-11-19_14-41-35_2025-11-19_14-04-56_H1-8MTH2TQ_D1_sample-3630.tif
H1-XNQ4F2B_A1,05_VHD_S3_630um_SVB,Br6436,630,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-XNQ4F2B_A1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/Br6436_4um_40x.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/CAVG10676_2025-11-12_12-18-34_2025-11-12_11-41-28_H1-XNQ4F2B_A1_sample-630um.tif
H1-XNQ4F2B_D1,06_VHD_S3_4630um_SVB,Br6436,4630,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/processed-data/01_spaceranger/H1-XNQ4F2B_D1,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/Br6436_75um_40x.tif,/dcs05/lieber/marmaypag/xenium_NAC_LIBD4125/xenium_NAC/raw-data/HD/CAVG10676_2025-11-12_12-18-34_2025-11-12_11-41-28_H1-XNQ4F2B_D1_sample-4630.tif
