"","ENSEMBL_ID","Gene_Name"
"64","ENSG00000135048","CEMIP2"
"65","ENSG00000117724","CENPF"
"66","ENSG00000160401","CFAP157"
"67","ENSG00000070748","CHAT"
"68","ENSG00000154645","CHODL"
"69","ENSG00000013297","CLDN11"
"70","ENSG00000184113","CLDN5"
"71","ENSG00000158258","CLSTN2"
"72","ENSG00000150656","CNDP1"
"73","ENSG00000184144","CNTN2"
"74","ENSG00000154529","CNTNAP3B"
"75","ENSG00000100473","COCH"
"76","ENSG00000111799","COL12A1"
"77","ENSG00000188517","COL25A1"
"78","ENSG00000102879","CORO1A"
"79","ENSG00000241563","CORT"
"80","ENSG00000145920","CPLX2"
"81","ENSG00000196353","CPNE4"
"82","ENSG00000147571","CRH"
"83","ENSG00000145708","CRHBP"
"84","ENSG00000106113","CRHR2"
"85","ENSG00000006016","CRLF1"
"86","ENSG00000103316","CRYM"
"87","ENSG00000173546","CSPG4"
"88","ENSG00000183230","CTNNA3"
"89","ENSG00000103811","CTSH"
"90","ENSG00000163131","CTSS"
"91","ENSG00000111249","CUX2"
"92","ENSG00000168329","CX3CR1"
"93","ENSG00000145824","CXCL14"
"94","ENSG00000121966","CXCR4"
"95","ENSG00000115165","CYTIP"
"96","ENSG00000187323","DCC"
"97","ENSG00000163673","DCLK3"
"98","ENSG00000011465","DCN"
"99","ENSG00000162733","DDR2"
"100","ENSG00000162595","DIRAS3"
"101","ENSG00000187957","DNER"
"102","ENSG00000184845","DRD1"
"103","ENSG00000149295","DRD2"
"104","ENSG00000169676","DRD5"
"105","ENSG00000164330","EBF1"
"106","ENSG00000115468","EFHD1"
"107","ENSG00000146648","EGFR"
"108","ENSG00000197977","ELOVL2"
"109","ENSG00000145242","EPHA5"
"110","ENSG00000065361","ERBB3"
"111","ENSG00000136541","ERMN"
"112","ENSG00000112319","EYA4"
"113","ENSG00000117560","FASLG"
"114","ENSG00000077942","FBLN1"
"115","ENSG00000158869","FCER1G"
"116","ENSG00000150337","FCGR1A"
"117","ENSG00000203747","FCGR3A"
"118","ENSG00000066468","FGFR2"
"119","ENSG00000068078","FGFR3"
"120","ENSG00000118407","FILIP1"
"121","ENSG00000102755","FLT1"
"122","ENSG00000129654","FOXJ1"
"123","ENSG00000128573","FOXP2"
"124","ENSG00000053108","FSTL4"
"125","ENSG00000168843","FSTL5"
"126","ENSG00000140564","FURIN"
"127","ENSG00000136928","GABBR2"
"128","ENSG00000268089","GABRQ"
"129","ENSG00000128683","GAD1"
"130","ENSG00000136750","GAD2"
"131","ENSG00000139354","GAS2L3"
"132","ENSG00000131095","GFAP"
"133","ENSG00000168546","GFRA2"
"134","ENSG00000152661","GJA1"
"135","ENSG00000112164","GLP1R"
"136","ENSG00000186469","GNG2"
"137","ENSG00000115523","GNLY"
"138","ENSG00000147437","GNRH1"
"139","ENSG00000136235","GPNMB"
"140","ENSG00000169508","GPR183"
"141","ENSG00000171659","GPR34"
"142","ENSG00000146360","GPR6"
"143","ENSG00000163873","GRIK3"
"144","ENSG00000183454","GRIN2A"
"145","ENSG00000145649","GZMA"
"146","ENSG00000114315","HES1"
"147","ENSG00000010282","HHATL"
"148","ENSG00000135245","HILPDA"
"149","ENSG00000242574","HLA-DMB"
"150","ENSG00000196735","HLA-DQA1"
"151","ENSG00000122254","HS3ST2"
"152","ENSG00000182601","HS3ST4"
"153","ENSG00000102468","HTR2A"
"154","ENSG00000147246","HTR2C"
"155","ENSG00000164270","HTR4"
"156","ENSG00000148680","HTR7"
"157","ENSG00000138413","IDH1"
"158","ENSG00000182054","IDH2"
"159","ENSG00000131203","IDO1"
"160","ENSG00000142089","IFITM3"
"161","ENSG00000146674","IGFBP3"
"162","ENSG00000141753","IGFBP4"
"163","ENSG00000115461","IGFBP5"
"164","ENSG00000189108","IL1RAPL2"
"165","ENSG00000168685","IL7R"
"166","ENSG00000077943","ITGA8"
"167","ENSG00000169896","ITGAM"
"168","ENSG00000140678","ITGAX"
"169","ENSG00000160255","ITGB2"
"170","ENSG00000140015","KCNH5"
"171","ENSG00000157404","KIT"
"172","ENSG00000127528","KLF2"
"173","ENSG00000136826","KLF4"
"174","ENSG00000167755","KLK6"
"175","ENSG00000111796","KLRB1"
"176","ENSG00000196569","LAMA2"
"177","ENSG00000125869","LAMP5"
"178","ENSG00000106852","LHX6"
"179","ENSG00000162624","LHX8"
"180","ENSG00000113083","LOX"
"181","ENSG00000154237","LRRK1"
"182","ENSG00000188906","LRRK2"
"183","ENSG00000112799","LY86"
"184","ENSG00000187123","LYPD6"
"185","ENSG00000150556","LYPD6B"
"186","ENSG00000133800","LYVE1"
"187","ENSG00000105695","MAG"
"188","ENSG00000172005","MAL"
"189","ENSG00000140563","MCTP2"
"190","ENSG00000134138","MEIS2"
"191","ENSG00000152595","MEPE"
"192","ENSG00000008394","MGST1"
"193","ENSG00000148773","MKI67"
"194","ENSG00000168314","MOBP"
"195","ENSG00000204655","MOG"
"196","ENSG00000110077","MS4A6A"
"197","ENSG00000205358","MT1H"
