spatial_0.4,Annotation
1,MSN_Inh_A
2,WM
3,CHAT_PVALB
4,MSN_Inh_B
5,Endothelial
6,D1_Island_B
7,Excitatory
8,D1_Island_A
9,Endo_Micro_Astro
10,MSN_Inh_C
11,PVN
12,Ependymal
