marker_order,source_label,Gene,source_file,source_definition,in_366_gene_panel_required
1,D1_Island_A,DRD1,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
2,D1_Island_A,RXFP1,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
3,D1_Island_A,TSHZ1,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
4,D1_Island_A,SEMA5B,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
5,D1_Island_A,TRHDE,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
6,D1_Island_A,GABRQ,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
7,D1_Island_A,VWC2L,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
8,D1_Island_A,CPNE4,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
9,D1_Island_B,SEMA3E,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_and_current_targeted_result_before_this_2000um_analysis,TRUE
10,D1_Island_B,PROK2,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
11,D1_Island_B,NPY1R,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
12,D1_Island_B,RXFP2,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
13,D1_Island_B,KCNH5,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
14,D1_Island_B,VIP,D1_marker_source_snapshot.csv,user_prespecified_D1_marker_panel_before_this_2000um_analysis,TRUE
